elapsed_seconds,distance_bin_lower_bps,distance_bin_upper_bps,up_count,sample_count,p_up_smoothed
120,-124.0,-123.0,0,1,0.47619047619047616
120,-119.0,-118.0,0,1,0.47619047619047616
120,-116.0,-115.0,0,3,0.43478260869565216
120,-115.0,-114.0,1,1,0.5238095238095238
120,-112.0,-111.0,0,1,0.47619047619047616
120,-110.0,-109.0,0,1,0.47619047619047616
120,-102.0,-101.0,0,1,0.47619047619047616
120,-101.0,-100.0,0,1,0.47619047619047616
120,-100.0,-99.0,0,1,0.47619047619047616
120,-98.0,-97.0,0,1,0.47619047619047616
120,-97.0,-96.0,0,1,0.47619047619047616
120,-94.0,-93.0,0,2,0.45454545454545453
120,-91.0,-90.0,0,1,0.47619047619047616
120,-87.0,-86.0,0,1,0.47619047619047616
120,-86.0,-85.0,0,3,0.43478260869565216
120,-83.0,-82.0,0,1,0.47619047619047616
120,-81.0,-80.0,0,1,0.47619047619047616
120,-79.0,-78.0,0,1,0.47619047619047616
120,-76.0,-75.0,1,1,0.5238095238095238
120,-75.0,-74.0,0,3,0.43478260869565216
120,-73.0,-72.0,1,4,0.4583333333333333
120,-72.0,-71.0,0,3,0.43478260869565216
120,-71.0,-70.0,0,1,0.47619047619047616
120,-70.0,-69.0,0,3,0.43478260869565216
120,-69.0,-68.0,0,1,0.47619047619047616
120,-68.0,-67.0,0,7,0.37037037037037035
120,-67.0,-66.0,0,2,0.45454545454545453
120,-66.0,-65.0,0,1,0.47619047619047616
120,-65.0,-64.0,0,1,0.47619047619047616
120,-64.0,-63.0,0,5,0.4
120,-63.0,-62.0,0,3,0.43478260869565216
120,-62.0,-61.0,1,4,0.4583333333333333
120,-61.0,-60.0,0,4,0.4166666666666667
120,-60.0,-59.0,1,5,0.44
120,-59.0,-58.0,0,5,0.4
120,-58.0,-57.0,0,4,0.4166666666666667
120,-57.0,-56.0,1,4,0.4583333333333333
120,-56.0,-55.0,0,5,0.4
120,-55.0,-54.0,0,5,0.4
120,-54.0,-53.0,0,3,0.43478260869565216
120,-53.0,-52.0,0,7,0.37037037037037035
120,-52.0,-51.0,0,3,0.43478260869565216
120,-51.0,-50.0,1,9,0.3793103448275862
120,-50.0,-49.0,1,9,0.3793103448275862
120,-49.0,-48.0,2,7,0.4444444444444444
120,-48.0,-47.0,0,3,0.43478260869565216
120,-47.0,-46.0,0,6,0.38461538461538464
120,-46.0,-45.0,1,14,0.3235294117647059
120,-45.0,-44.0,1,16,0.3055555555555556
120,-44.0,-43.0,1,21,0.2682926829268293
120,-43.0,-42.0,0,23,0.23255813953488372
120,-42.0,-41.0,0,15,0.2857142857142857
120,-41.0,-40.0,3,16,0.3611111111111111
120,-40.0,-39.0,2,23,0.27906976744186046
120,-39.0,-38.0,1,27,0.23404255319148937
120,-38.0,-37.0,1,30,0.22
120,-37.0,-36.0,4,31,0.27450980392156865
120,-36.0,-35.0,1,25,0.24444444444444444
120,-35.0,-34.0,5,50,0.21428571428571427
120,-34.0,-33.0,4,40,0.23333333333333334
120,-33.0,-32.0,6,53,0.2191780821917808
120,-32.0,-31.0,7,55,0.22666666666666666
120,-31.0,-30.0,4,75,0.14736842105263157
120,-30.0,-29.0,6,76,0.16666666666666666
120,-29.0,-28.0,6,76,0.16666666666666666
120,-28.0,-27.0,6,93,0.1415929203539823
120,-27.0,-26.0,8,120,0.12857142857142856
120,-26.0,-25.0,10,126,0.136986301369863
120,-25.0,-24.0,13,131,0.152317880794702
120,-24.0,-23.0,8,180,0.09
120,-23.0,-22.0,20,187,0.14492753623188406
